Name,Team,Year,Position,Games,Points,Percentage,Rebounds,Assists,Steals,Blocks,MVP
MEDIA QUINTETO, ,2010, ,395,24.62,0.4894,7.239999999999999,4.0200000000000005,1.1,0.62, 
Derrick Rose,CHI,2011,PG,81,25.0,.445,4.1,7.7,1.0,0.6,No
Dwyane Wade,MIA,2011,SG,76,25.5,.500,6.4,4.6,1.5,1.1,No
Kevin Durant,OKC,2011,SF,78,27.7,.462,6.8,2.7,1.1,1.0,No
Amar'e Stoudemire,NYK,2011,PF,78,25.3,.502,8.2,2.6,0.9,1.9,No
Dwight Howard,ORL,2011,C,78,22.9,.593,14.1,1.4,1.4,2.4,No
MEDIA QUINTETO, ,2011, ,391,25.28,0.5004,7.92,3.8,1.1800000000000002,1.4, 
Russell Westbrook,OKC,2012,PG,66,23.6,.457,4.6,5.5,1.7,0.3,No
Kobe Bryant,LAL,2012,SG,58,27.9,.430,5.4,4.6,1.2,0.3,No
Kevin Durant,OKC,2012,SF,66,28.0,.496,8.0,3.5,1.3,1.2,No
Kevin Love,MIN,2012,PF,55,26.0,.448,13.3,2.0,0.9,0.5,No
Al Jefferson,UTA,2012,C,61,19.2,.492,9.6,2.2,0.8,1.7,No
MEDIA QUINTETO, ,2012, ,306,24.94,0.4646,8.18,3.56,1.1800000000000002,0.8, 
Russell Westbrook,OKC,2013,PG,82,23.2,.438,5.2,7.4,1.8,0.3,No
Kobe Bryant,LAL,2013,SG,78,27.3,.463,5.6,6.0,1.4,0.3,No
Kevin Durant,OKC,2013,SF,81,28.1,.510,7.9,4.6,1.4,1.3,Yes
Carmelo Anthony,NYK,2013,PF,67,28.7,.449,6.9,2.6,0.8,0.5,No
Brook Lopez,BRK,2013,C,74,19.4,.521,6.9,0.9,0.4,2.1,No
MEDIA QUINTETO, ,2013, ,382,25.339999999999996,0.47620000000000007,6.5,4.3,1.16,0.9, 
Stephen Curry,GSW,2014,PG,78,24.0,.471,4.3,8.5,1.6,0.2,Yes
James Harden,HOU,2014,SG,73,25.4,.456,4.7,6.1,1.6,0.4,No
Kevin Durant,OKC,2014,SF,81,32.0,.503,7.4,5.5,1.3,0.7,No
Kevin Love,MIN,2014,PF,77,26.1,.457,12.5,4.4,0.8,0.5,No
DeMarcus Cousins,SAC,2014,C,71,22.7,.496,11.7,2.9,1.5,1.3,No
MEDIA QUINTETO, ,2014, ,380,26.04,0.4766,8.12,5.4799999999999995,1.3599999999999999,0.62, 
Russell Westbrook,OKC,2015,PG,67,28.1,.426,7.3,8.6,2.1,0.2,No
James Harden,HOU,2015,SG,81,27.4,.440,5.7,7.0,1.9,0.7,No
LeBron James,CLE,2015,SF,69,25.3,.488,6.0,7.4,1.6,0.7,No
Anthony Davis,NOP,2015,PF,68,24.4,.535,10.2,2.2,1.5,2.9,No
DeMarcus Cousins,SAC,2015,C,59,24.1,.467,12.7,3.6,1.5,1.7,No
MEDIA QUINTETO, ,2015, ,344,25.859999999999996,0.47120000000000006,8.379999999999999,5.76,1.72,1.24, 
Stephen Curry,GSW,2016,PG,79,30.1,.504,5.4,6.7,2.1,0.2,No
James Harden,HOU,2016,SG,82,29.0,.439,6.1,7.5,1.7,0.6,No
Kevin Durant,OKC,2016,SF,72,28.2,.505,8.2,5.0,1.0,1.2,No
Anthony Davis,NOP,2016,PF,61,24.3,.493,10.3,1.9,1.3,2.0,No
DeMarcus Cousins,SAC,2016,C,65,26.9,.451,11.5,3.3,1.6,1.4,No
MEDIA QUINTETO, ,2016, ,359,27.7,0.4784,8.3,4.88,1.5399999999999998,1.08, 
Russell Westbrook,OKC,2017,PG,81,31.6,.425,10.7,10.4,1.6,0.4,No
James Harden,HOU,2017,SG,81,29.1,.440,8.1,11.2,1.5,0.5,Yes
LeBron James,CLE,2017,SF,74,26.4,.548,8.6,8.7,1.2,0.6,No
Anthony Davis,NOP,2017,PF,75,28.0,.505,11.8,2.1,1.3,2.2,No
Karl-Anthony Towns,MIN,2017,C,82,25.1,.542,12.3,2.7,0.7,1.3,No
MEDIA QUINTETO, ,2017, ,393,28.04,0.492,10.3,7.0200000000000005,1.26,1.0, 
Damian Lillard,POR,2018,PG,73,26.9,.439,4.5,6.6,1.1,0.4,No
James Harden,HOU,2018,SG,72,30.4,.449,5.4,8.8,1.8,0.7,No
Kevin Durant,GSW,2018,SF,68,26.4,.516,6.8,5.4,0.7,1.8,No
Anthony Davis,NOP,2018,PF,75,28.1,.534,11.1,2.3,1.5,2.6,No
Joel Embiid,PHI,2018,C,63,22.9,.483,11.0,3.2,0.6,1.8,No
MEDIA QUINTETO, ,2018, ,351,26.939999999999998,0.48419999999999996,7.76,5.26,1.1400000000000001,1.46, 
